GRB230228244 PowerLaw,1.0e-10,2.07 1.6 1.26 2.78e-11 -2.78e-11 6.52e-11 0.0 9.3e-11
GRB220412713 PowerLaw,1.0e-10,2.07 1.67 1.29 4.24e-12 -4.24e-12 1.22e-11 0.0 1.64e-11
GRB220617772 PowerLaw,1.0e-10,2.07 3.65 1.91 5.11e-12 -4.57e-12 1e-11 5.41e-13 1.52e-11
GRB190515190 PowerLaw,1.0e-10,2.07 4.3 2.07 6.52e-12 -5.8e-12 1.75e-11 7.15e-13 2.4e-11
GRB221120895 PowerLaw,1.0e-10,2.07 0.59 0.77 2.24e-12 -2.24e-12 1.17e-11 0.0 1.39e-11
GRB200415367 PowerLaw,1.0e-10,2.07 11.6 3.41 1.45e-10 -1e-10 1.78e-10 4.43e-11 3.22e-10
GRB170826369 PowerLaw,1.0e-10,2.07 9.18 3.03 4.41e-12 -3.55e-12 8.95e-12 8.66e-13 1.34e-11
GRB150101641 PowerLaw,1.0e-10,2.07 0.19 0.44 5.76e-11 -5.76e-11 3.28e-10 0.0 3.86e-10
GRB170318644 PowerLaw,1.0e-10,2.07 1.56 1.25 2.89e-12 -2.89e-12 9.18e-12 0.0 1.21e-11
GRB170816599 PowerLaw,1.0e-10,2.07 3.7 1.92 2.09e-12 -1.95e-12 7.38e-12 1.45e-13 9.48e-12
GRB220511571 PowerLaw,1.0e-10,2.07 6.11 2.47 2.03e-12 -1.82e-12 6.94e-12 2.08e-13 8.97e-12
GRB181125371 PowerLaw,1.0e-10,2.07 1.71 1.31 6.36e-12 -6.36e-12 1.74e-11 0.0 2.38e-11
GRB180805543 PowerLaw,1.0e-10,2.07 3.12 1.77 1.06e-11 -1.01e-11 3.1e-11 5.1e-13 4.16e-11
GRB201214672 PowerLaw,1.0e-10,2.07 4.47 2.11 6.01e-12 -5.18e-12 1.16e-11 8.29e-13 1.76e-11
GRB170206453 PowerLaw,1.0e-10,2.07 0.03 0.16 5.54e-11 -5.54e-11 6.86e-10 0.0 7.41e-10
GRB150819440 PowerLaw,1.0e-10,2.07 1.99 1.41 2.23e-09 -2.23e-09 7.78e-09 0.0 1e-08
GRB230812790 PowerLaw,1.0e-10,2.07 1.55 1.24 1.54e-09 -1.54e-09 2.52e-09 0.0 4.06e-09
GRB171007498 PowerLaw,1.0e-10,2.07 0.0 0.0 0.0 0.0 4.25e-12 0.0 4.25e-12
GRB151229285 PowerLaw,1.0e-10,2.07 1.02 1.01 9.47e-12 -9.47e-12 3.64e-11 0.0 4.59e-11
GRB201008443 PowerLaw,1.0e-10,2.07 3.84 1.96 4.54e-12 -4.17e-12 1.37e-11 3.65e-13 1.82e-11
GRB180418281 PowerLaw,1.0e-10,2.07 4.82 2.19 3.99e-12 -3.41e-12 8.55e-12 5.81e-13 1.25e-11
GRB211024065        
GRB150110923 PowerLaw,1.0e-10,2.07 4.4 2.1 8.36e-12 -6.88e-12 1.33e-11 1.49e-12 2.17e-11
GRB160714097 PowerLaw,1.0e-10,2.07 0.0 0.0 0.0 0.0 4.3e-09 0.0 4.3e-09
GRB210827416 PowerLaw,1.0e-10,2.07 0.0 0.0 0.0 0.0 2.24e-11 0.0 2.24e-11
GRB210323918 PowerLaw,1.0e-10,2.07 0.01 0.08 3.93e-11 -3.93e-11 9.58e-10 0.0 9.98e-10
GRB220418720 PowerLaw,1.0e-10,2.07 6.15 2.48 1.64e-11 -1.43e-11 3.78e-11 2.14e-12 5.42e-11
GRB230512269 PowerLaw,1.0e-10,2.07 0.0 0.0 0.0 0.0 7.84e-12 0.0 7.84e-12
GRB200605762 PowerLaw,1.0e-10,2.07 1.02 1.01 7.03e-12 -7.03e-12 2.24e-11 0.0 2.94e-11
GRB180718082 PowerLaw,1.0e-10,2.07 7.62 2.76 4.35e-12 -3.47e-12 9.23e-12 8.82e-13 1.36e-11
GRB210618072 PowerLaw,1.0e-10,2.07 1.45 1.2 3.88e-12 -3.88e-12 1.36e-11 0.0 1.75e-11
GRB170803729 PowerLaw,1.0e-10,2.07 1.49 1.22 4.55e-12 -4.55e-12 2.11e-11 0.0 2.56e-11
GRB190427190 PowerLaw,1.0e-10,2.07 0.0 0.0 0.0 0.0 4.61e-12 0.0 4.61e-12
GRB160612842 PowerLaw,1.0e-10,2.07 0.0 0.01 2.83e-10 -2.83e-10 8.72e-08 0.0 8.75e-08
GRB170817529 PowerLaw,1.0e-10,2.07 2.82 1.68 2.56e-11 -2.47e-11 7.01e-11 8.5e-13 9.56e-11
GRB160624477 PowerLaw,1.0e-10,2.07 3.58 1.89 1.39e-09 -1.25e-09 1.47e-09 1.43e-10 2.86e-09
GRB180204109 PowerLaw,1.0e-10,2.07 0.91 0.95 2.98e-12 -2.98e-12 1.05e-11 0.0 1.35e-11
GRB170403583 PowerLaw,1.0e-10,2.07 2.85 1.69 3.34e-12 -3.22e-12 9.36e-12 1.22e-13 1.27e-11
GRB200623138 PowerLaw,1.0e-10,2.07 0.0 0.0 0.0 0.0 1.48e-11 0.0 1.48e-11
GRB180715755 PowerLaw,1.0e-10,2.07 0.24 0.49 1.14e-12 -1.14e-12 9.74e-12 0.0 1.09e-11
GRB180402406 PowerLaw,1.0e-10,2.07 4.09 2.02 1.36e-11 -1.19e-11 2.89e-11 1.7e-12 4.24e-11
GRB170708046 PowerLaw,1.0e-10,2.07 0.73 0.86 2.17e-12 -2.17e-12 9.44e-12 0.0 1.16e-11
