GRB150110923,2.1,38.1
GRB150922234,2.7,47.2
GRB160726065,2.9,48.2
GRB170222209,1.9,36.2
GRB170325331,1.8,33.3
GRB170403583,1.8,33.8
GRB170817529,5.6,78.2
GRB180715755,2.4,43.2
GRB180718082,2.2,39.7
GRB181125371,2.6,44.9
GRB190427190,2.6,45.4
GRB201008443,3.2,50.9
GRB201221963,2.8,47.1
GRB210323918,1.9,34.1
